央视频道,#genre#
陕西卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/sxwssd4m/index.m3u8?channel-id=
甘肃卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/gswssd4m/index.m3u8?channel-id=
重庆卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/cqws8m/index.m3u8?channel-id=
宁夏卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/nxwssd4m/index.m3u8?channel-id=
青海卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/qhwssd4m/index.m3u8?channel-id=
新疆卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/xjwssd4m/index.m3u8?channel-id=
云南卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/ynwshd8m/index.m3u8?channel-id=
河南卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hnwshd8m/index.m3u8?channel-id=
海南卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hainanwshd8m/index.m3u8?channel-id=
兵团卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/btwssd4m/index.m3u8?channel-id=
河北卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hbws/index.m3u8?channel-id=
厦门卫视,http://120.210.193.151:8006/120000001002/XMTxmws/index.m3u8?channel-id=
山东卫视,http://120.210.193.151:8006/120000001002/XMTsdwshd/index.m3u8?channel-id=
黑龙江卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/hljwshd8m/index.m3u8?channel-id=
内蒙古卫视,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/nmgws2d5m/index.m3u8?channel-id=

安徽卫视,http://120.210.193.151:8006/120000000058/G_ANHUI-CQ/index.m3u8?channel-id=
湖南卫视,http://120.210.193.151:8006/120000000058/G_HUNAN-CQ/index.m3u8?channel-id=
东方卫视,http://120.210.193.151:8006/120000000058/G_DONGFANG-CQ/index.m3u8?channel-id=
北京卫视,http://120.210.193.151:8006/120000000058/G_BEIJING-CQ/index.m3u8?channel-id=
浙江卫视,http://120.210.193.151:8006/120000000058/G_ZHEJIANG-CQ/index.m3u8?channel-id=
江苏卫视,http://120.210.193.151:8006/120000000058/G_JIANGSU-CQ/index.m3u8?channel-id=
天津卫视,http://120.210.193.151:8006/120000000058/G_TIANJIN-CQ/index.m3u8?channel-id=
山东卫视,http://120.210.193.151:8006/120000000058/G_SHANDONG-CQ/index.m3u8?channel-id=
